ISO3,Year,Value
AFG,1981,1
AFG,1987,1
AFG,1989,1
AFG,1992,1
AFG,1999,1
AFG,2002,1
AFG,1971,1
AFG,1972,1
AFG,1982,2
AFG,1986,1
AFG,1989,1
AFG,1993,1
AFG,1961,1
AFG,1969,1
AFG,1972,3
AFG,1973,2
AFG,1976,2
AFG,1977,1
AFG,1978,2
AFG,1979,1
AFG,1980,1
AFG,1983,4
AFG,1984,8
AFG,1985,2
AFG,1986,8
AFG,1987,7
AFG,1988,7
AFG,1989,1
AFG,1990,3
AFG,1991,2
AFG,1992,2
AFG,1993,6
AFG,1994,4
AFG,1995,2
AFG,1996,1
AFG,1997,4
AFG,1998,1
AFG,1999,3
AFG,2000,6
AFG,2001,5
AFG,2002,2
AFG,2003,5
AFG,1968,1
AFG,1974,2
AFG,1976,1
AFG,1978,1
AFG,1979,1
AFG,1983,1
AFG,1987,2
AFG,1990,1
AFG,1991,2
AFG,1993,3
AFG,1994,1
AFG,1996,4
AFG,1998,2
AFG,1999,1
AFG,2000,1
AFG,2001,1
AFG,2002,1
AFG,2003,1
AFG,1974,1
AFG,1986,1
AFG,1987,2
AFG,1992,1
AFG,1995,1
AFG,1998,2
AFG,2001,1
AFG,1961,1
AFG,1968,1
AFG,1969,1
AFG,1971,1
AFG,1972,4
AFG,1973,2
AFG,1974,3
AFG,1976,3
AFG,1977,1
AFG,1978,3
AFG,1979,2
AFG,1980,2
AFG,1981,1
AFG,1982,2
AFG,1983,5
AFG,1984,8
AFG,1985,2
AFG,1986,10
AFG,1987,12
AFG,1988,7
AFG,1989,3
AFG,1990,4
AFG,1991,4
AFG,1992,4
AFG,1993,10
AFG,1994,5
AFG,1995,3
AFG,1996,5
AFG,1997,4
AFG,1998,5
AFG,1999,5
AFG,2000,7
AFG,2001,7
AFG,2002,4
AFG,2003,6
AFG,1980,1
ALB,1970,1
ALB,1966,1
ALB,1985,1
ALB,1988,1
ALB,1993,1
ALB,1998,1
ALB,1973,1
ALB,1976,2
ALB,1978,1
ALB,1983,1
ALB,1985,1
ALB,1986,1
ALB,1990,1
ALB,1991,1
ALB,1996,3
ALB,1997,1
ALB,1998,1
ALB,1999,1
ALB,2002,1
ALB,1966,1
ALB,1983,1
ALB,1986,1
ALB,1966,2
ALB,1970,1
ALB,1973,1
ALB,1976,2
ALB,1978,1
ALB,1983,2
ALB,1985,2
ALB,1986,2
ALB,1988,2
ALB,1990,1
ALB,1991,1
ALB,1993,1
ALB,1996,3
ALB,1997,1
ALB,1998,2
ALB,1999,1
ALB,2002,1
ALB,1988,1
DZA,1962,1
DZA,1984,1
DZA,1998,1
DZA,2000,1
DZA,1962,1
DZA,1963,1
DZA,1965,1
DZA,1966,1
DZA,1973,1
DZA,1974,1
DZA,1975,2
DZA,1977,1
DZA,1978,1
DZA,1980,1
DZA,1981,4
DZA,1982,1
DZA,1983,3
DZA,1984,3
DZA,1985,2
DZA,1986,2
DZA,1987,1
DZA,1988,6
DZA,1989,1
DZA,1990,2
DZA,1992,1
DZA,1993,2
DZA,1996,2
DZA,1999,1
DZA,2002,2
DZA,1974,1
DZA,1969,1
DZA,1981,1
DZA,1984,1
DZA,1986,1
DZA,1962,2
DZA,1963,1
DZA,1965,1
DZA,1966,1
DZA,1969,1
DZA,1973,1
