ISO3,Phone,Region Code,Region Name,Sub-region Code,Sub-region Name,Intermediate Region Code,Intermediate Region Name
AFG,93,142,Asia,34,Southern Asia,,
ALA,340,150,Europe,154,Northern Europe,,
ALB,355,150,Europe,39,Southern Europe,,
DZA,213,2,Africa,15,Northern Africa,,
ASM,-683,9,Oceania,61,Polynesia,,
AND,376,150,Europe,39,Southern Europe,,
AGO,244,2,Africa,202,Sub-Saharan Africa,17,Middle Africa
AIA,-263,19,Americas,419,Latin America and the Caribbean,29,Caribbean
ATA,,,,,,,
ATG,-267,19,Americas,419,Latin America and the Caribbean,29,Caribbean
ARG,54,19,Americas,419,Latin America and the Caribbean,5,South America
ARM,374,142,Asia,145,Western Asia,,
ABW,297,19,Americas,419,Latin America and the Caribbean,29,Caribbean
AUS,61,9,Oceania,53,Australia and New Zealand,,
AUT,43,150,Europe,155,Western Europe,,
AZE,994,142,Asia,145,Western Asia,,
BHS,-241,19,Americas,419,Latin America and the Caribbean,29,Caribbean
BHR,973,142,Asia,145,Western Asia,,
BGD,880,142,Asia,34,Southern Asia,,
BRB,-245,19,Americas,419,Latin America and the Caribbean,29,Caribbean
BLR,375,150,Europe,151,Eastern Europe,,
BEL,32,150,Europe,155,Western Europe,,
BLZ,501,19,Americas,419,Latin America and the Caribbean,13,Central America
BEN,229,2,Africa,202,Sub-Saharan Africa,11,Western Africa
BMU,-440,19,Americas,21,Northern America,,
BTN,975,142,Asia,34,Southern Asia,,
BOL,591,19,Americas,419,Latin America and the Caribbean,5,South America
BES,599,19,Americas,419,Latin America and the Caribbean,29,Caribbean
BIH,387,150,Europe,39,Southern Europe,,
BWA,267,2,Africa,202,Sub-Saharan Africa,18,Southern Africa
BVT,,19,Americas,419,Latin America and the Caribbean,5,South America
BRA,55,19,Americas,419,Latin America and the Caribbean,5,South America
IOT,246,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
VGB,-283,19,Americas,419,Latin America and the Caribbean,29,Caribbean
BRN,673,142,Asia,35,South-eastern Asia,,
BGR,359,150,Europe,151,Eastern Europe,,
BFA,226,2,Africa,202,Sub-Saharan Africa,11,Western Africa
BDI,257,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
KHM,855,142,Asia,35,South-eastern Asia,,
CMR,237,2,Africa,202,Sub-Saharan Africa,17,Middle Africa
CAN,1,19,Americas,21,Northern America,,
CPV,238,2,Africa,202,Sub-Saharan Africa,11,Western Africa
CYM,-344,19,Americas,419,Latin America and the Caribbean,29,Caribbean
CAF,236,2,Africa,202,Sub-Saharan Africa,17,Middle Africa
TCD,235,2,Africa,202,Sub-Saharan Africa,17,Middle Africa
CHL,56,19,Americas,419,Latin America and the Caribbean,5,South America
CHN,86,142,Asia,30,Eastern Asia,,
CXR,61,9,Oceania,53,Australia and New Zealand,,
CCK,61,9,Oceania,53,Australia and New Zealand,,
COL,57,19,Americas,419,Latin America and the Caribbean,5,South America
COM,269,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
COK,682,9,Oceania,61,Polynesia,,
CRI,506,19,Americas,419,Latin America and the Caribbean,13,Central America
HRV,385,150,Europe,39,Southern Europe,,
CUB,53,19,Americas,419,Latin America and the Caribbean,29,Caribbean
